fecha_de_pago,cod_comercio," PERCEPCION IVA R.G. 2408   3,00 %",AJUSTE SIRTAC JUL. 1RA QUINC,AJUSTE SIRTAC JUNIO 2DA QUINC,ARANCEL                                     ,CARGOS DE ENTIDAD                           ,"CRED FISCAL AHORA 12/18 VTA EN CUOTAS 10,50%","CRED. FISCAL PAG.S/DTO.FIN.OTORG 21,00%     ","CRED.FISC.LEY 25063 PAG.S/DTO.F.OTORG. 10,50",DESCUENTO FINANC.OTORG. CUOTAS              ,IMPORTE NETO DE PAGOS                       ,"IVA CRED.FISC.COM.L.25063 S/DTO F.OTOR 10,50","IVA CRED.FISC.COMERCIO S/ARANC 21,00%       ","IVA PROMO CUOTAS AHORA 12/18 - 10,50%",IVA RI CRED.FISC.COMERCIO S/DTO F.OTORG     ,PER B.A.I.BR.DN.01/04,PERC.I.B. CORRIENTES R.165/00,PERCEP ING BR MISIONES R.G. 003/93,"PERCEPCION IVA R.G. 2408   1,50 %",PROMO CUOTAS AHORA 12/18,REEMBOLSOS DE ENTIDAD                       ,RETENCION IMP.GANANCIAS                     ,RETENCION ING.BRUTOS                        ,RETENCION ING.BRUTOS SIRTAC,RETENCION IVA                               ,SUBTOTAL NETO DE PAGOS                      ,TOTAL DEDUCCIONES                           ,TOTAL LIQUIDACION                           ,VENTAS C/DESCUENTO CONTADO                  ,VENTAS C/DTO CUOTAS FINANC. OTORG.          ,ventas con descuento
2022-07-01,25107265,148.68,,,2825.2799999999997,,1098.383,,,,164499.43,,593.31,1098.38,,,,,,10460.79,,1514.915,,1680.5700000000002,4114.07,164499.43,16582.07,164499.43,52254.0,257655.0,309909.0
2022-07-01,25107278,,,,1157.8049999999998,,430.97,,,,82196.205,,243.14,430.97,,,,,,4104.48,,637.2950000000001,,755.52,1476.02,82196.205,6537.505,82196.205,45663.5,86140.42,131803.91999999998
2022-07-01,25107280,,,,1043.31,,397.821,,,,55190.57,,219.095,397.82,,,,,,3788.78,,1026.31,1441.28,601.345,1581.6200000000001,55190.57,7493.105,55190.57,20594.8,84177.75,104772.55
2022-07-01,25107293,156.56,,,3076.895,,1730.252,,,,182704.565,,646.1500000000001,1730.25,,,,,,16478.6,,1631.0449999999998,,1858.775,4313.285,182704.565,20708.855000000003,182704.565,68099.4,270628.04,338727.43999999994
2022-07-01,25107315,197.04,,,2637.3933333333334,,1448.274,259.19,,1234.24,154185.74333333335,,553.8533333333334,1448.27,259.19,191.16333333333333,,,,13793.09,,1417.3466666666666,3206.9966666666664,1577.1966666666667,3775.8733333333334,154185.74333333335,19003.766666666666,154185.74333333335,91896.6,167887.665,259784.265
2022-07-01,25107328,256.8,,,3531.5833333333335,,1978.661,379.51,,1807.18,211122.31999999998,,741.6333333333333,1978.66,379.51,260.38666666666666,,,,18844.39,,1901.38,4390.393333333333,2133.1633333333334,4978.9,211122.31999999998,25692.953333333335,211122.31999999998,126532.35,228690.56,355222.91000000003
2022-07-01,25107330,175.01,,,3395.305,,1532.883,,,,196506.63,,713.015,1532.88,,267.365,,,,14598.89,,1814.95,4089.3900000000003,2039.03,4852.015,196506.63,25324.460000000003,196506.63,69182.1,305297.98,374480.07999999996
2022-07-01,25107343,67.84,,,1262.5766666666666,,503.648,,,,94068.47000000002,,265.1433333333334,503.65,,105.685,,,,4796.65,,1025.8899999999999,1947.7033333333336,842.9699999999999,1545.1566666666668,94068.47000000002,8407.313333333334,94068.47000000002,63094.4,118144.15,181238.55
2022-07-01,25107356,280.37,,,3434.4166666666665,,1958.599,,19.27,183.49,184576.8566666667,19.27,721.2266666666666,1958.6,,242.83333333333334,,,,18653.32,,1830.22,3842.3399999999997,1981.0533333333333,5168.776666666667,184576.8566666667,24252.550000000003,184576.8566666667,64186.76666666666,216963.96,281150.7266666667
2022-07-01,25107369,344.9,,,6419.055,,2626.181,,,,356899.93,,1348.0,2626.18,,473.12,,,,25011.25,,3426.895,7428.31,3780.535,9448.654999999999,356899.93,46315.735,356899.93,103443.5,599544.33,702987.83
2022-07-01,25107371,282.7333333333333,,,9423.49,,5922.22,916.91,,4366.26,559996.0766666667,,1978.9333333333334,5922.22,916.91,,,,65.49,56402.1,,5040.156666666667,,5631.436666666666,13427.616666666667,559996.0766666667,58342.026666666665,559996.0766666667,186049.33333333334,648433.155,834482.4883333334
2022-07-01,25107384,156.35,,,3415.31,,1119.796,,,,227200.8,,717.2149999999999,1119.8,,,,,,10664.73,,1870.185,,2155.915,4607.135,227200.8,18736.2,227200.8,114598.0,262678.0,377276.0
2022-07-01,25107397,103.91,,,2100.71,,854.746,,,,129900.295,,441.15000000000003,854.75,,,,,,8140.45,,1132.845,,1285.025,2940.645,129900.295,12449.93,129900.295,92317.0,192383.45,284700.45
2022-07-01,25107406,226.05,,,4420.35,,1933.769,,,,263961.325,,928.275,1933.77,,,,,,18416.85,,2368.095,,2664.375,6294.545,263961.325,26963.975,263961.325,84175.0,413500.6,497675.6
2022-07-01,25107419,217.16,,,2353.8450000000003,,1779.691,367.34,,1749.23,146378.87,,494.30749999999995,1779.69,367.34,233.77666666666667,,,,16949.44,,1685.76,3042.6375,1449.745,3230.7775,146378.87,17276.68,146378.87,82058.69333333333,204223.06,286281.7533333333
2022-07-01,25107421,80.2,,,1843.2649999999999,,685.506,,,,125170.185,,387.085,685.51,,,,,,6528.63,,1010.6800000000001,1935.9250000000002,1185.87,2403.87,125170.185,12413.865,125170.185,68471.05,138226.0,206697.05
2022-07-01,25107434,,,,597.26,,,,,,71190.88,,125.42,,,14.93,,,,,,370.3,1466.4,522.61,370.3,71190.88,3467.22,71190.88,74658.1,,
2022-07-01,25107447,210.74,,,4767.223333333333,,2698.333,340.69,,1622.32,284418.98666666663,,1001.1166666666667,2698.33,340.69,,,1246.63,,25698.41,,2561.483333333333,,2856.403333333333,6822.823333333334,284418.98666666663,28685.00333333333,284418.98666666663,150479.0,319176.985,469655.985
2022-07-01,25107462,,,,1089.555,,503.744,,,,58184.155,,228.805,503.74,,,,,,4797.57,,577.8050000000001,2426.585,636.9350000000001,1610.68,58184.155,9221.02,58184.155,16445.45,101919.45,118364.9
2022-07-01,25107488,244.02,,,3255.2233333333334,,2063.293,285.3,,1358.58,193584.46666666665,,683.5966666666667,2063.29,285.3,,,,,19650.41,,1741.13,,1947.8933333333334,4636.49,193584.46666666665,20131.533333333333,193584.46666666665,96641.0,223933.0,320574.0
2022-07-01,25107501,153.11,,,1880.1233333333332,,1583.96,95.56,,455.05,102381.36666666665,,394.82666666666665,1583.96,95.56,,,,,15085.34,,1461.19,,1090.3666666666668,2763.31,102381.36666666665,12893.76,102381.36666666665,31720.95,141191.74,172912.69
2022-07-01,25107512,84.71,,,1972.79,,745.998,,,,137302.41999999998,,414.28499999999997,746.0,,,,,,7104.75,,1082.53,,1275.255,2551.805,137302.41999999998,11264.394999999999,137302.41999999998,71088.5,154956.63,226045.13
2022-07-01,25107525,243.98,,,3386.2166666666667,,1698.47,124.65,59.35,1158.85,211594.63,59.35,711.1066666666667,1698.47,124.65,,,,,16175.91,,2709.51,,2067.5,4744.113333333334,211594.63,19202.346666666668,211594.63,144479.5,201715.965,346195.46499999997
2022-07-01,25107538,71.02,,,1361.5649999999998,,543.591,,,,78218.575,,285.93,543.59,,98.75500000000001,,,,5177.06,,730.1800000000001,1627.02,813.2750000000001,1969.865,78218.575,9782.425000000001,78218.575,24244.0,127514.0,151758.0
2022-07-01,25107540,,,,660.5350000000001,,274.921,,,,42081.07,,138.715,274.92,,,,,,2618.3,,357.245,,409.765,905.6300000000001,42081.07,3918.5,42081.07,33489.3,58509.84,91999.14
2022-07-01,25107553,205.66500000000002,,,6855.030000000001,,3177.901,,,,394140.975,,1439.56,3177.9,,,,,,30265.73,,3666.07,16314.895,4141.21,9706.28,394140.975,59050.525,394140.975,136132.5,634118.0,770250.5
